### SLIM v1.0.0 ###
# Third-party software/package versions
# Entries marked "build-time" are installed from apt/CRAN/conda/git without an exact pinned version in the Dockerfile.
software	version	source_or_note
Ubuntu	24.04	Docker base image
Node.js	build-time	Ubuntu apt package
npm	build-time	Ubuntu apt package
R	build-time	Ubuntu/CRAN apt packages
Biopython	build-time	pip upgrade during Docker build
jQuery-Autocomplete	1.4.7	get_dependencies_slim_v1.0.0.sh
PapaParse	4.4.0	get_dependencies_slim_v1.0.0.sh
DoubleTagDemultiplexer	f687329ac846193605af97ef2b3f65d1bf5bce04	get_dependencies_slim_v1.0.0.sh
CASPER	0.8.2	bundled source archive
VSEARCH	2.31.0	get_dependencies_slim_v1.0.0.sh
SWARM3	3.1.6	get_dependencies_slim_v1.0.0.sh
DADA2	1.26	get_dependencies_slim_v1.0.0.sh
DECIPHER	2.16.0	get_dependencies_slim_v1.0.0.sh
lulu	build-time	cloned from https://github.com/tobiasgf/lulu
chopper	0.8.0	conda/bioconda pinned
fastp	build-time	conda/bioconda package in Kraken2-Bracken environment; used by SingleM preprocessing through PATH
MSI	build-time	cloned from https://github.com/adriantich/msi
fastq_utils	build-time	cloned from https://github.com/adriantich/fastq_utils for MSI
seqtk	build-time	cloned from https://github.com/lh3/seqtk for MSI
ASHURE	1.0.0	get_dependencies_slim_v1.0.0.sh
spoa	4.1.0	bundled with ASHURE build
SingleM	0.20.3	conda/bioconda pinned
polars-lts-cpu	build-time	pip-installed replacement for polars in SingleM environment
Kraken2	build-time	conda/bioconda package in Kraken2-Bracken environment
Bracken	build-time	conda/bioconda package in Kraken2-Bracken environment
mOTUs	4.0.4	conda/bioconda package in dedicated conda environment
fetchMGs	build-time	conda/bioconda dependency of mOTUs
polars[rtcompat]	build-time	pip-installed compatible Polars runtime in mOTUs environment
minimap2	build-time	conda/bioconda package in isONclust3 environment
yacrd	build-time	conda/bioconda package in isONclust3 environment
Racon	1.5.0	source-built in isONclust3 environment for CPU compatibility
isONclust3	build-time	cargo-installed Rust package in isONclust3 environment
cutadapt	build-time	conda/bioconda package in isONclust3 environment
metaDMG	build-time	conda/bioconda package in ancient-DNA environment
NCBI Datasets CLI	build-time	conda package in ancient-DNA environment
BWA	build-time	conda/bioconda package in ancient-DNA environment
SAMtools	build-time	conda/bioconda package in ancient-DNA environment
